"Table with row headers in column A, and column headers in rows 4 through 5.",,,,,,,,,,,,,,
"Table 4c.  Reported Voting and Registration, by Age, for States:  November 2018",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
STATE,Age,Total population,Total citizen population,Registered,,,,,Voted,,,,,
,,,,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1,
US,Total,"249,748","228,832","153,066",61.3,0.3,66.9,0.3,"122,281",49.0,0.3,53.4,0.3,
,18 to 24,"28,993","26,950","13,241",45.7,0.9,49.1,0.9,"8,726",30.1,0.8,32.4,0.9,
,25 to 34,"44,769","39,280","23,342",52.1,0.7,59.4,0.8,"16,545",37.0,0.7,42.1,0.8,
,35 to 44,"40,784","35,403","23,383",57.3,0.8,66.0,0.8,"18,041",44.2,0.8,51.0,0.8,
,45 to 64,"83,277","77,085","55,032",66.1,0.5,71.4,0.5,"45,829",55.0,0.5,59.5,0.5,
,65+,"51,925","50,113","38,068",73.3,0.6,76.0,0.6,"33,139",63.8,0.6,66.1,0.7,
ALABAMA,Total,"3,753","3,609","2,490",66.4,2.5,69.0,2.5,"1,830",48.8,2.7,50.7,2.7,
,18 to 24,458,434,221,48.2,7.6,50.8,7.8,130,28.3,6.9,29.9,7.2,
,25 to 34,660,619,425,64.4,6.1,68.6,6.1,262,39.8,6.2,42.4,6.5,
,35 to 44,556,508,341,61.3,6.8,67.1,6.8,239,43.0,6.9,47.1,7.2,
,45 to 64,"1,340","1,313",933,69.7,4.1,71.1,4.1,736,54.9,4.4,56.0,4.5,
,65+,740,735,571,77.1,5.0,77.7,5.0,463,62.6,5.8,63.1,5.8,
ALASKA,Total,523,497,337,64.4,2.7,67.7,2.7,263,50.2,2.9,52.8,2.9,
,18 to 24,76,69,36,48.3,7.5,B,B,27,35.5,7.2,B,B,
,25 to 34,104,99,57,55.1,6.4,58.0,6.5,39,37.5,6.2,39.6,6.4,
,35 to 44,76,72,52,68.1,7.0,B,B,39,51.4,7.5,B,B,
,45 to 64,173,167,121,69.8,4.5,72.7,4.5,98,56.8,4.9,59.1,5.0,
,65+,94,91,70,74.7,5.9,77.0,5.8,59,63.0,6.5,65.0,6.5,
ARIZONA,Total,"5,361","4,757","3,262",60.8,2.2,68.6,2.2,"2,800",52.2,2.3,58.9,2.4,
