"Rank","State","Data",

"1","Rhode Island RI","57%",
"2","District of Columbia DC","56%",
"3","Massachusetts MA","53%",
"4","Connecticut CT","50%",
"5","New York NY","49%",
"6","California CA","48%",
"7","Vermont VT","48%",
"8","Delaware DE","47%",
"9","New Hampshire NH","46%",
"10","New Jersey NJ","46%",
"11","Iowa IA","45%",
"12","Michigan MI","45%",
"13","Nebraska NE","45%",
"14","Virginia VA","45%",
"15","Maine ME","44%",
"16","Maryland MD","44%",
"17","Pennsylvania PA","44%",
"18","Wisconsin WI","44%",
"19","Florida FL","43%",
"20","Illinois IL","43%",
"21","Kansas KS","43%",
"22","North Dakota ND","43%",
"23","Minnesota MN","42%",
"24","Mississippi MS","42%",
"25","Alabama AL","41%",
"26","Colorado CO","41%",
"27","Indiana IN","41%",
"28","Ohio OH","41%",
"29","Utah UT","41%",
"30","Missouri MO","40%",
"31","North Carolina NC","40%",
"32","South Carolina SC","40%",
"33","South Dakota SD","40%",
"34","Oregon OR","39%",
"35","West Virginia WV","39%",
"36","Arizona AZ","38%",
"37","Georgia GA","38%",
"38","Louisiana LA","38%",
"39","Texas TX","38%",
"40","Arkansas AR","37%",
"41","Kentucky KY","37%",
"42","Oklahoma OK","37%",
"43","Tennessee TN","37%",
"44","Hawaii HI","35%",
"45","Idaho ID","35%",
"46","Montana MT","35%",
"47","Washington WA","35%",
"48","Wyoming WY","35%",
"49","New Mexico NM","33%",
"50","Nevada NV","31%",
"51","Alaska AK","27%",




(c) 2020 Center for Information and Research on Civic Learning & Engagement | CIRCLE is part of Tufts University Jonathan M. Tisch College of Civic Life | circle.tufts.edu
