"Rank","State","Data",

"1","California CA","9",
"2","Colorado CO","9",
"3","Connecticut CT","8",
"4","District of Columbia DC","8",
"5","Hawaii HI","8",
"6","Vermont VT","8",
"7","West Virginia WV","8",
"8","Alaska AK","7",
"9","Iowa IA","7",
"10","Oregon OR","7",
"11","Rhode Island RI","7",
"12","Delaware DE","6",
"13","Georgia GA","6",
"14","Illinois IL","6",
"15","Maryland MD","6",
"16","Minnesota MN","6",
"17","Wisconsin WI","6",
"18","Florida FL","5",
"19","Idaho ID","5",
"20","Louisiana LA","5",
"21","Massachusetts MA","5",
"22","Missouri MO","5",
"23","Nevada NV","5",
"24","Utah UT","5",
"25","Indiana IN","4",
"26","Kentucky KY","4",
"27","Maine ME","4",
"28","Oklahoma OK","4",
"29","Pennsylvania PA","4",
"30","South Carolina SC","4",
"31","Tennessee TN","4",
"32","Alabama AL","3",
"33","Arizona AZ","3",
"34","Kansas KS","3",
"35","Nebraska NE","3",
"36","New Hampshire NH","3",
"37","New Jersey NJ","3",
"38","New Mexico NM","3",
"39","New York NY","3",
"40","North Carolina NC","3",
"41","North Dakota ND","3",
"42","Ohio OH","3",
"43","Texas TX","3",
"44","Virginia VA","3",
"45","Washington WA","3",
"46","Wyoming WY","3",
"47","Michigan MI","2",
"48","Montana MT","2",
"49","Arkansas AR","1",
"50","Mississippi MS","1",
"51","South Dakota SD","1",




(c) 2020 Center for Information and Research on Civic Learning & Engagement | CIRCLE is part of Tufts University Jonathan M. Tisch College of Civic Life | circle.tufts.edu
