"State","Data",

"Alabama AL","R+25",
"Alaska AK","R+15",
"Arizona AZ","R+7",
"Arkansas AR","R+26",
"California CA","D+27",
"Colorado CO","D+5",
"Connecticut CT","D+16",
"Delaware DE","D+15",
"District of Columbia DC","D+86",
"Florida FL","D=R",
"Georgia GA","R+7",
"Hawaii HI","D+38",
"Idaho ID","R+32",
"Illinois IL","D+17",
"Indiana IN","R+15",
"Iowa IA","R+2",
"Kansas KS","R+22",
"Kentucky KY","R+27",
"Louisiana LA","R+19",
"Maine ME","D+9",
"Maryland MD","D+26",
"Massachusetts MA","D+25",
"Michigan MI","R+5",
"Minnesota MN","D+5",
"Mississippi MS","R+15",
"Missouri MO","R+14",
"Montana MT","R+17",
"Nebraska NE","R+24",
"Nevada NV","D+5",
"New Hampshire NH","D+3",
"New Jersey NJ","D+16",
"New Mexico NM","D+9",
"New York NY","D+25",
"North Carolina NC","R+3",
"North Dakota ND","R+28",
"Ohio OH","R+3",
"Oklahoma OK","R+35",
"Oregon OR","D+12",
"Pennsylvania PA","D+2",
"Rhode Island RI","D+22",
"South Carolina SC","R+12",
"South Dakota SD","R+24",
"Tennessee TN","R+23",
"Texas TX","R+13",
"Utah UT","R+33",
"Vermont VT","D+31",
"Virginia VA","D+5",
"Washington WA","D+16",
"West Virginia WV","R+35",
"Wisconsin WI","R+3",
"Wyoming WY","R+44",




(c) 2020 Center for Information and Research on Civic Learning & Engagement | CIRCLE is part of Tufts University Jonathan M. Tisch College of Civic Life | circle.tufts.edu
