"Rank","State","Data",

"1","Minnesota MN","44%",
"2","Montana MT","42%",
"3","Colorado CO","41%",
"4","Oregon OR","39%",
"5","Maine ME","36%",
"6","Iowa IA","35%",
"7","Washington WA","35%",
"8","Georgia GA","34%",
"9","Massachusetts MA","33%",
"10","Michigan MI","33%",
"11","New Jersey NJ","33%",
"12","Virginia VA","33%",
"13","Florida FL","32%",
"14","Connecticut CT","31%",
"15","California CA","30%",
"16","Maryland MD","30%",
"17","Missouri MO","30%",
"18","Pennsylvania PA","30%",
"19","Delaware DE","29%",
"20","Vermont VT","29%",
"21","Nevada NV","28%",
"22","Illinois IL","27%",
"23","Kentucky KY","27%",
"24","Ohio OH","27%",
"25","Arizona AZ","26%",
"26","Kansas KS","26%",
"27","Nebraska NE","26%",
"28","North Carolina NC","26%",
"29","Texas TX","26%",
"30","Idaho ID","25%",
"31","Indiana IN","24%",
"32","Alabama AL","23%",
"33","Rhode Island RI","23%",
"34","South Dakota SD","23%",
"35","Louisiana LA","22%",
"36","New Mexico NM","22%",
"37","Tennessee TN","22%",
"38","South Carolina SC","21%",
"39","West Virginia WV","19%",
"40","Oklahoma OK","18%",
"41","Arkansas AR","17%",
"42","Utah UT","17%",
"43","New York NY","16%",
"44","Alaska AK","no data",
"45","District of Columbia DC","no data",
"46","Hawaii HI","no data",
"47","Mississippi MS","no data",
"48","New Hampshire NH","no data",
"49","North Dakota ND","no data",
"50","Wisconsin WI","no data",
"51","Wyoming WY","no data",




(c) 2020 Center for Information and Research on Civic Learning & Engagement | CIRCLE is part of Tufts University Jonathan M. Tisch College of Civic Life | circle.tufts.edu
