"Rank","State","Data",

"1","California CA","1,834,319",
"2","Texas TX","1,109,291",
"3","Florida FL","893,623",
"4","Pennsylvania PA","582,429",
"5","Georgia GA","544,440",
"6","Illinois IL","518,870",
"7","Michigan MI","508,481",
"8","New York NY","494,447",
"9","Ohio OH","492,052",
"10","Virginia VA","432,886",
"11","North Carolina NC","406,646",
"12","New Jersey NJ","395,448",
"13","Washington WA","384,989",
"14","Colorado CO","364,036",
"15","Minnesota MN","359,174",
"16","Massachusetts MA","355,237",
"17","Missouri MO","290,177",
"18","Arizona AZ","276,362",
"19","Maryland MD","260,627",
"20","Indiana IN","247,651",
"21","Oregon OR","238,971",
"22","Tennessee TN","233,287",
"23","Kentucky KY","189,459",
"24","Alabama AL","180,272",
"25","Iowa IA","169,969",
"26","South Carolina SC","167,370",
"27","Louisiana LA","166,494",
"28","Connecticut CT","159,701",
"29","Kansas KS","118,201",
"30","Nevada NV","117,004",
"31","Oklahoma OK","109,881",
"32","Utah UT","92,501",
"33","Arkansas AR","79,721",
"34","Nebraska NE","77,065",
"35","New Mexico NM","70,635",
"36","Montana MT","68,525",
"37","Maine ME","67,449",
"38","Idaho ID","66,671",
"39","West Virginia WV","51,071",
"40","Rhode Island RI","40,983",
"41","Delaware DE","40,863",
"42","South Dakota SD","30,692",
"43","Vermont VT","29,326",
"44","Alaska AK","no data",
"45","District of Columbia DC","no data",
"46","Hawaii HI","no data",
"47","Mississippi MS","no data",
"48","New Hampshire NH","no data",
"49","North Dakota ND","no data",
"50","Wisconsin WI","no data",
"51","Wyoming WY","no data",




(c) 2020 Center for Information and Research on Civic Learning & Engagement | CIRCLE is part of Tufts University Jonathan M. Tisch College of Civic Life | circle.tufts.edu
