"Rank","State","Data",

"1","California CA","6,059,901",
"2","Texas TX","4,292,119",
"3","New York NY","3,012,070",
"4","Florida FL","2,834,898",
"5","Pennsylvania PA","1,944,387",
"6","Illinois IL","1,929,120",
"7","Ohio OH","1,801,486",
"8","Georgia GA","1,626,370",
"9","North Carolina NC","1,576,345",
"10","Michigan MI","1,556,537",
"11","Virginia VA","1,297,922",
"12","New Jersey NJ","1,204,348",
"13","Washington WA","1,103,542",
"14","Arizona AZ","1,067,740",
"15","Massachusetts MA","1,067,164",
"16","Tennessee TN","1,045,612",
"17","Indiana IN","1,043,652",
"18","Missouri MO","958,226",
"19","Colorado CO","893,000",
"20","Wisconsin WI","884,238",
"21","Maryland MD","871,222",
"22","Minnesota MN","821,292",
"23","South Carolina SC","792,807",
"24","Alabama AL","771,482",
"25","Louisiana LA","756,656",
"26","Kentucky KY","694,326",
"27","Oklahoma OK","618,434",
"28","Oregon OR","609,579",
"29","Utah UT","549,078",
"30","Connecticut CT","521,117",
"31","Iowa IA","490,390",
"32","Mississippi MS","489,327",
"33","Kansas KS","464,390",
"34","Arkansas AR","463,969",
"35","Nevada NV","421,348",
"36","New Mexico NM","324,209",
"37","Nebraska NE","296,847",
"38","West Virginia WV","266,495",
"39","Idaho ID","262,705",
"40","Hawaii HI","212,732",
"41","New Hampshire NH","200,800",
"42","Maine ME","185,480",
"43","Rhode Island RI","175,395",
"44","Montana MT","161,862",
"45","District of Columbia DC","142,877",
"46","Delaware DE","141,024",
"47","North Dakota ND","139,846",
"48","South Dakota SD","135,536",
"49","Alaska AK","130,346",
"50","Vermont VT","100,951",
"51","Wyoming WY","88,687",




(c) 2020 Center for Information and Research on Civic Learning & Engagement | CIRCLE is part of Tufts University Jonathan M. Tisch College of Civic Life | circle.tufts.edu
