"","state","age","total_cit","total_register","percent_register","percent_register_cit","total_vote","percent_vote","percent_vote_cit","year"
"1","US","Total",215081,153157,65.1,71.2,132948,56.5,61.8,"2018"
"2","US","18 to 24",27535,14766,49.4,53.6,11353,38,41.2,"2018"
"3","US","25 to 34",35473,23435,57,66.1,18977,46.1,53.5,"2018"
"4","US","35 to 44",34265,24461,61.7,71.4,20965,52.9,61.2,"2018"
"5","US","45 to 64",76639,57795,70.4,75.4,52013,63.4,67.9,"2018"
"6","US","65+",41169,32699,76.9,79.4,29641,69.7,72,"2018"
"7","ALABAMA","Total",3479,2556,71.1,73.5,2154,59.9,61.9,"2018"
"8","ALABAMA","18 to 24",428,212,48.3,49.6,155,35.3,36.2,"2018"
"9","ALABAMA","25 to 34",535,359,62.4,67.2,271,47,50.6,"2018"
"10","ALABAMA","35 to 44",582,410,66.7,70.6,330,53.7,56.8,"2018"
"11","ALABAMA","45 to 64",1275,1051,81,82.4,939,72.4,73.7,"2018"
"12","ALABAMA","65+",660,523,78.5,79.2,459,68.8,69.5,"2018"
"13","ALASKA","Total",495,361,69.9,72.8,289,56,58.4,"2018"
"14","ALASKA","18 to 24",61,31,NA,51.1,20,NA,32.5,"2018"
"15","ALASKA","25 to 34",103,70,64,67.7,46,42.6,45,"2018"
"16","ALASKA","35 to 44",80,60,70.2,75.4,50,58.6,62.9,"2018"
"17","ALASKA","45 to 64",182,144,77.6,79.3,122,65.7,67.1,"2018"
"18","ALASKA","65+",69,55,NA,80,51,NA,73.2,"2018"
"19","ARIZONA","Total",4314,2812,57.8,65.2,2412,49.6,55.9,"2018"
"20","ARIZONA","18 to 24",545,301,51.4,55.3,234,40,43,"2018"
"21","ARIZONA","25 to 34",709,399,46.5,56.3,289,33.7,40.8,"2018"
"22","ARIZONA","35 to 44",713,437,50.2,61.3,382,43.9,53.6,"2018"
"23","ARIZONA","45 to 64",1502,1015,61.3,67.6,901,54.4,60,"2018"
"24","ARIZONA","65+",846,659,73.9,78,606,67.9,71.7,"2018"
"25","ARKANSAS","Total",2109,1376,62.6,65.3,1124,51.1,53.3,"2018"
"26","ARKANSAS","18 to 24",281,126,43.8,44.8,70,24.3,24.8,"2018"
"27","ARKANSAS","25 to 34",336,194,53.7,57.8,140,38.6,41.6,"2018"
"28","ARKANSAS","35 to 44",341,234,65.6,68.7,205,57.5,60.3,"2018"
"29","ARKANSAS","45 to 64",704,498,67.1,70.8,442,59.6,62.8,"2018"
"30","ARKANSAS","65+",448,324,72.1,72.3,267,59.4,59.6,"2018"
"31","CALIFORNIA","Total",23419,15356,54.2,65.6,13462,47.5,57.5,"2018"
"32","CALIFORNIA","18 to 24",3479,1787,45.1,51.4,1447,36.5,41.6,"2018"
"33","CALIFORNIA","25 to 34",4153,2548,47.6,61.3,2070,38.6,49.8,"2018"
"34","CALIFORNIA","35 to 44",3675,2478,49.3,67.4,2118,42.1,57.6,"2018"
"35","CALIFORNIA","45 to 64",7827,5459,58.3,69.7,4926,52.6,62.9,"2018"
"36","CALIFORNIA","65+",4284,3084,66.3,72,2902,62.4,67.7,"2018"
"37","COLORADO","Total",3544,2635,69,74.4,2495,65.4,70.4,"2018"
"38","COLORADO","18 to 24",461,278,56.5,60.3,259,52.5,56.1,"2018"
"39","COLORADO","25 to 34",602,411,59.2,68.2,363,52.4,60.3,"2018"
"40","COLORADO","35 to 44",616,484,70.9,78.6,452,66.2,73.4,"2018"
"41","COLORADO","45 to 64",1287,1025,75.7,79.7,989,73,76.9,"2018"
"42","COLORADO","65+",577,437,73.6,75.7,432,72.8,74.8,"2018"
"43","CONNECTICUT","Total",2499,1760,64.6,70.4,1568,57.5,62.7,"2018"
"44","CONNECTICUT","18 to 24",308,145,43.6,47.1,123,36.9,39.8,"2018"
"45","CONNECTICUT","25 to 34",331,210,52.1,63.4,177,44,53.5,"2018"
"46","CONNECTICUT","35 to 44",382,255,57.8,66.8,223,50.5,58.3,"2018"
"47","CONNECTICUT","45 to 64",993,768,73.3,77.4,695,66.3,70,"2018"
"48","CONNECTICUT","65+",486,383,76.2,78.9,351,69.7,72.2,"2018"
"49","DELAWARE","Total",641,470,67.8,73.3,431,62.2,67.3,"2018"
"50","DELAWARE","18 to 24",77,38,46.1,49.4,33,40.5,43.4,"2018"
"51","DELAWARE","25 to 34",86,54,51.1,63.3,49,46.3,57.4,"2018"
"52","DELAWARE","35 to 44",102,77,64.6,75.8,67,56.6,66.4,"2018"
"53","DELAWARE","45 to 64",232,182,75.9,78.6,168,69.9,72.3,"2018"
"54","DELAWARE","65+",145,118,81.3,81.6,113,77.9,78.1,"2018"
"55","DISTRICT OF COLUMBIA","Total",461,385,74.4,83.4,350,67.7,75.9,"2018"
"56","DISTRICT OF COLUMBIA","18 to 24",61,43,NA,70.3,38,NA,61.4,"2018"
"57","DISTRICT OF COLUMBIA","25 to 34",133,114,74,85.3,102,66,76.2,"2018"
"58","DISTRICT OF COLUMBIA","35 to 44",67,59,74.5,88.1,55,69.4,81.9,"2018"
"59","DISTRICT OF COLUMBIA","45 to 64",129,109,77.7,84.4,99,70.9,77,"2018"
"60","DISTRICT OF COLUMBIA","65+",71,60,NA,84.7,57,NA,80.2,"2018"
"61","FLORIDA","Total",13326,9102,60.5,68.3,8107,53.9,60.8,"2018"
"62","FLORIDA","18 to 24",1467,751,45,51.2,614,36.8,41.9,"2018"
"63","FLORIDA","25 to 34",1903,1158,51.3,60.9,987,43.7,51.9,"2018"
"64","FLORIDA","35 to 44",1960,1335,54.3,68.1,1177,47.9,60.1,"2018"
"65","FLORIDA","45 to 64",4814,3474,65,72.2,3107,58.1,64.5,"2018"
"66","FLORIDA","65+",3182,2384,72.2,74.9,2222,67.2,69.8,"2018"
"67","GEORGIA","Total",6738,4767,66.4,70.7,4168,58.1,61.9,"2018"
"68","GEORGIA","18 to 24",867,469,51,54.1,349,37.9,40.2,"2018"
"69","GEORGIA","25 to 34",1148,847,64.8,73.8,700,53.5,61,"2018"
"70","GEORGIA","35 to 44",1228,825,61.5,67.2,726,54.1,59.1,"2018"
"71","GEORGIA","45 to 64",2547,1886,70.9,74,1741,65.5,68.4,"2018"
"72","GEORGIA","65+",948,739,77.7,78,652,68.5,68.7,"2018"
"73","HAWAII","Total",930,547,54.1,58.9,480,47.4,51.6,"2018"
"74","HAWAII","18 to 24",91,33,30.6,36,24,22.1,26,"2018"
"75","HAWAII","25 to 34",154,65,37.8,42.3,55,31.7,35.5,"2018"
"76","HAWAII","35 to 44",153,83,50.2,54.4,69,41.7,45.2,"2018"
"77","HAWAII","45 to 64",317,217,63.2,68.4,196,57,61.8,"2018"
"78","HAWAII","65+",215,149,66.6,69.6,137,61,63.7,"2018"
"79","IDAHO","Total",1064,745,65.9,70,679,60.2,63.9,"2018"
"80","IDAHO","18 to 24",121,51,39,41.8,39,29.8,31.9,"2018"
"81","IDAHO","25 to 34",173,114,59,66.2,99,51,57.3,"2018"
"82","IDAHO","35 to 44",187,141,69.6,75.7,132,64.8,70.6,"2018"
"83","IDAHO","45 to 64",382,274,68.3,71.7,250,62.3,65.4,"2018"
"84","IDAHO","65+",201,164,81.6,81.6,160,79.5,79.5,"2018"
"85","ILLINOIS","Total",8831,6425,66.6,72.7,5428,56.2,61.5,"2018"
"86","ILLINOIS","18 to 24",1122,608,49.5,54.2,396,32.2,35.3,"2018"
"87","ILLINOIS","25 to 34",1480,1020,59.7,68.9,846,49.6,57.2,"2018"
"88","ILLINOIS","35 to 44",1481,1066,63.2,72,872,51.7,58.9,"2018"
"89","ILLINOIS","45 to 64",3182,2471,72.5,77.7,2206,64.7,69.3,"2018"
"90","ILLINOIS","65+",1566,1259,77.7,80.4,1108,68.4,70.7,"2018"
"91","INDIANA","Total",4724,3270,67.4,69.2,2801,57.7,59.3,"2018"
"92","INDIANA","18 to 24",558,269,47.2,48.2,203,35.7,36.4,"2018"
"93","INDIANA","25 to 34",800,462,53.7,57.7,356,41.4,44.5,"2018"
"94","INDIANA","35 to 44",801,550,66.4,68.6,420,50.7,52.4,"2018"
"95","INDIANA","45 to 64",1733,1329,75.8,76.7,1212,69.1,70,"2018"
"96","INDIANA","65+",832,660,78.6,79.4,610,72.6,73.3,"2018"
"97","IOWA","Total",2232,1745,75.2,78.2,1548,66.7,69.4,"2018"
"98","IOWA","18 to 24",243,150,57.7,61.8,121,46.6,49.9,"2018"
"99","IOWA","25 to 34",379,276,68.7,72.9,238,59.2,62.8,"2018"
"100","IOWA","35 to 44",358,275,71.3,76.8,238,61.8,66.5,"2018"
"101","IOWA","45 to 64",812,652,78.7,80.3,586,70.8,72.2,"2018"
"102","IOWA","65+",440,392,88.1,88.9,365,82.1,82.8,"2018"
"103","KANSAS","Total",1973,1467,69.2,74.4,1249,58.9,63.3,"2018"
"104","KANSAS","18 to 24",262,127,43.2,48.4,88,30.1,33.7,"2018"
"105","KANSAS","25 to 34",359,236,58.1,65.8,172,42.3,47.9,"2018"
"106","KANSAS","35 to 44",269,203,67.7,75.5,169,56.4,63,"2018"
"107","KANSAS","45 to 64",721,583,77,80.9,535,70.7,74.2,"2018"
"108","KANSAS","65+",363,318,87.6,87.6,285,78.3,78.3,"2018"
"109","KENTUCKY","Total",3194,2303,70,72.1,1895,57.6,59.3,"2018"
"110","KENTUCKY","18 to 24",437,225,50.5,51.6,165,37.1,37.9,"2018"
"111","KENTUCKY","25 to 34",462,320,62.4,69.3,235,45.9,51,"2018"
"112","KENTUCKY","35 to 44",534,411,75.1,76.9,330,60.3,61.7,"2018"
"113","KENTUCKY","45 to 64",1152,879,74.9,76.3,757,64.6,65.7,"2018"
"114","KENTUCKY","65+",608,468,76.4,77,408,66.6,67.1,"2018"
"115","LOUISIANA","Total",3239,2498,75.2,77.1,2148,64.7,66.3,"2018"
"116","LOUISIANA","18 to 24",415,226,52.5,54.6,174,40.4,42,"2018"
"117","LOUISIANA","25 to 34",552,422,72.8,76.4,369,63.7,66.9,"2018"
"118","LOUISIANA","35 to 44",526,399,73.5,75.8,340,62.6,64.6,"2018"
"119","LOUISIANA","45 to 64",1184,968,80.7,81.7,846,70.5,71.4,"2018"
"120","LOUISIANA","65+",562,483,84.9,85.9,420,73.8,74.7,"2018"
"121","MAINE","Total",1020,787,75.5,77.1,700,67.2,68.6,"2018"
"122","MAINE","18 to 24",118,61,51.7,51.7,50,42.8,42.8,"2018"
"123","MAINE","25 to 34",131,93,69,70.6,78,58.1,59.5,"2018"
"124","MAINE","35 to 44",149,117,74.5,78.6,101,64.2,67.8,"2018"
"125","MAINE","45 to 64",407,329,79.7,80.9,300,72.7,73.7,"2018"
"126","MAINE","65+",215,187,85.2,86.9,170,77.7,79.2,"2018"
"127","MARYLAND","Total",4007,2888,64.9,72.1,2609,58.7,65.1,"2018"
"128","MARYLAND","18 to 24",558,301,51.5,54,246,42.1,44.1,"2018"
"129","MARYLAND","25 to 34",621,439,56.5,70.6,393,50.6,63.3,"2018"
"130","MARYLAND","35 to 44",590,434,60.2,73.5,396,54.9,67.1,"2018"
"131","MARYLAND","45 to 64",1450,1107,71.1,76.3,1025,65.8,70.7,"2018"
"132","MARYLAND","65+",787,607,75,77.1,550,67.9,69.8,"2018"
"133","MASSACHUSETTS","Total",4774,3759,72.7,78.7,3382,65.4,70.8,"2018"
"134","MASSACHUSETTS","18 to 24",633,395,56.9,62.4,316,45.6,49.9,"2018"
"135","MASSACHUSETTS","25 to 34",705,526,65,74.6,450,55.6,63.8,"2018"
"136","MASSACHUSETTS","35 to 44",783,580,65.4,74.1,530,59.7,67.6,"2018"
"137","MASSACHUSETTS","45 to 64",1677,1424,79.8,84.9,1327,74.4,79.2,"2018"
"138","MASSACHUSETTS","65+",975,833,83.8,85.4,759,76.3,77.8,"2018"
"139","MICHIGAN","Total",7228,5620,75,77.8,4832,64.5,66.8,"2018"
"140","MICHIGAN","18 to 24",894,536,59.2,59.9,394,43.5,44,"2018"
"141","MICHIGAN","25 to 34",1107,830,70.2,75,629,53.2,56.9,"2018"
"142","MICHIGAN","35 to 44",1136,900,73.7,79.2,768,62.9,67.6,"2018"
"143","MICHIGAN","45 to 64",2611,2141,80,82,1906,71.2,73,"2018"
"144","MICHIGAN","65+",1480,1214,80.3,82.1,1134,75,76.7,"2018"
"145","MINNESOTA","Total",3903,3085,76.1,79,2859,70.5,73.2,"2018"
"146","MINNESOTA","18 to 24",510,329,61.8,64.5,303,57,59.4,"2018"
"147","MINNESOTA","25 to 34",596,435,66.8,72.9,384,59,64.4,"2018"
"148","MINNESOTA","35 to 44",659,518,73.9,78.6,478,68.2,72.6,"2018"
"149","MINNESOTA","45 to 64",1387,1151,81.6,83,1081,76.6,77.9,"2018"
"150","MINNESOTA","65+",751,652,85.6,86.8,613,80.5,81.6,"2018"
"151","MISSISSIPPI","Total",2130,1794,82.8,84.2,1588,73.3,74.5,"2018"
"152","MISSISSIPPI","18 to 24",294,222,73.9,75.5,187,62.4,63.8,"2018"
